1001,school,4_6,7_8,9_11,,,,,
1002,school,1_3,4_6,7_8,9_11,,,,
1003,school,4_6,7_8,9_11,,,,,
1004,school,7_8,9_11,,,,,,
1005,school,1_3,4_6,7_8,9_11,,,,
1006,school,7_8,9_11,,,,,,
1007,school,1_3,4_6,7_8,9_11,,,,
1008,school,4_6,7_8,9_11,,,,,
1009,school,7_8,9_11,,,,,,
1010,school,4_6,7_8,9_11,,,,,
1011,school,1_3,4_6,7_8,,,,,
1012,school,1_3,4_6,7_8,9_11,,,,
1013,school,1_3,4_6,7_8,9_11,,,,
1014,school,1_3,4_6,7_8,9_11,,,,
1015,school,1_3,4_6,7_8,9_11,,,,
1016,school,4_6,7_8,9_11,,,,,
1017,school,9_11,,,,,,,
1018,school,4_6,7_8,9_11,,,,,
1019,school,1_3,4_6,,,,,,
1020,school,1_3,4_6,7_8,9_11,,,,
1021,school,1_3,4_6,7_8,9_11,,,,
1022,school,1_3,4_6,7_8,9_11,,,,
1023,school,1_3,4_6,7_8,9_11,,,,
